Country,RIC,Company Name,GICS Sector ,GICS Industry
Hong Kong,2422.HK,Rego Interactive Co Ltd,Communication Services,Media
Hong Kong,6610.HK,Flowing Cloud Technology Ltd,Communication Services,Media
Hong Kong,9877.HK,Jenscare Scientific Co Ltd,Health Care,Health Care Equipment & Supplies
Hong Kong,3931.HK,CALB Group Co Ltd,Consumer Discretionary,Automobile Components
Hong Kong,6660.HK,AIM Vaccine Co Ltd,Health Care,Biotechnology
Hong Kong,1489.HK,GC Construction Holdings Ltd,Consumer Discretionary,Household Durables
Hong Kong,9863.HK,Zhejiang Leapmotor Technology Co Ltd,Consumer Discretionary,Automobiles
Hong Kong,2602.HK,Onewo Inc,Real Estate,Real Estate Management & Development
Hong Kong,2350.HK,MTT Group Holdings Ltd,Information Technology,"Electronic Equipment, Instruments & Components"
Hong Kong,7801.HK,Interra Acquisition Corp,,
Hong Kong,9886.HK,Dingdang Health Technology Group Ltd,Consumer Staples,Consumer Staples Distribution & Retail
Hong Kong,6689.HK,Chongqing Hongjiu Fruit Co Ltd,Consumer Staples,Consumer Staples Distribution & Retail
Hong Kong,2306.HK,YH Entertainment Group,Communication Services,Entertainment
Hong Kong,2315.HK,Biocytogen Pharmaceuticals Beijing Co Ltd,Health Care,Biotechnology
Hong Kong,2152.HK,Suxin Joyful Life Services Co Ltd,Real Estate,Real Estate Management & Development
Hong Kong,2562.HK,Synagistics Ltd,Information Technology,Software
Hong Kong,2321.HK,Swang Chai Chuan Ltd,Consumer Staples,Consumer Staples Distribution & Retail
Hong Kong,9857.HK,Linmon Media Ltd,Communication Services,Entertainment
Hong Kong,2418.HK,Deewin Tianxia Co Ltd,Industrials,Ground Transportation
Hong Kong,2237.HK,China Graphite Group Ltd,Materials,Metals & Mining
